idx,query,gold,rag_rank,kg_rank,hybrid_rank
22,"Phạm vi điều chỉnh về hành vi vi phạm hành chính, hình thức xử phạt và biện pháp khắc phục hậu quả trong lĩnh vực bưu ch",Ngh_nh_x_ph_t_vi_ph_m_h_nh_ch_nh_l_nh_v_c_b_u_ch_nh_vi_n_th_ng_CNTT_D1,1,1,1
23,An ninh mạng được định nghĩa là gì?,Lu_t_An_ninh_m_ng_2018_D2,1,1,1
24,An ninh mạng và an ninh thông tin mạng được định nghĩa như thế nào?,Lu_t_An_ninh_m_ng_2025_D2,-1,2,5
25,Đối tượng áp dụng đối với hoạt động an toàn thông tin mạng tại Việt Nam gồm những ai?,Lu_t_An_to_n_th_ng_tin_m_ng_2015_D2,-1,2,1
26,Dữ liệu cá nhân và dữ liệu cá nhân cơ bản được định nghĩa ra sao?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D2,1,1,1
27,"Đối tượng áp dụng đối với người tiêu dùng và tổ chức, cá nhân kinh doanh gồm những ai?",Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D2,-1,1,1
28,Đối tượng áp dụng đối với hoạt động công nghiệp công nghệ số tại Việt Nam là những ai?,Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D2,-1,2,1
29,Đối tượng áp dụng trong hoạt động ứng dụng và phát triển công nghệ thông tin tại Việt Nam là những ai?,Lu_t_C_ng_ngh_th_ng_tin_2006_D2,-1,5,1
30,Đối tượng áp dụng đối với hoạt động dữ liệu số tại Việt Nam gồm những ai?,Lu_t_D_li_u_2024_D2,-1,-1,1
31,Đối tượng áp dụng đối với chủ thể tham gia giao dịch điện tử là những ai?,Lu_t_Giao_d_ch_i_n_t_2023_D2,-1,-1,1
32,"Đối tượng áp dụng về sở hữu trí tuệ đối với tổ chức, cá nhân trong và ngoài nước là những ai?",Lu_t_S_h_u_tr_tu_2005_D2,-1,-1,1
33,Đối tượng áp dụng trong hoạt động viễn thông tại Việt Nam là những ai?,Lu_t_Vi_n_th_ng_2023_D2,-1,3,1
34,Dữ liệu về thông tin cá nhân được định nghĩa ra sao?,Ngh_nh_quy_nh_chi_ti_t_Lu_t_An_ninh_m_ng_2018_D2,1,-1,1
35,"Đối tượng áp dụng gồm tác giả, chủ sở hữu quyền tác giả và những bên liên quan nào?",Ngh_nh_quy_nh_chi_ti_t_Lu_t_SHTT_v_quy_n_t_c_gi_ph_n_m_m_m_y_t_nh_D2,-1,-1,1
36,"Đối tượng áp dụng đối với việc quản lý, cung cấp, sử dụng dịch vụ Internet và thông tin trên mạng gồm những ai?",Ngh_nh_qu_n_l_cung_c_p_s_d_ng_d_ch_v_Internet_v_th_ng_tin_tr_n_m_ng_D2,1,-1,1
37,Dữ liệu cá nhân và dữ liệu cá nhân cơ bản được định nghĩa như thế nào?,Ngh_nh_v_b_o_v_d_li_u_c_nh_n_D2,3,1,2
38,Đối tượng áp dụng quy định về bảo đảm an toàn hệ thống thông tin theo cấp độ là những ai?,Ngh_nh_v_b_o_m_an_to_n_h_th_ng_th_ng_tin_theo_c_p_D2,1,1,1
39,"Đối tượng áp dụng quản lý, cung cấp dịch vụ chứng thực chữ ký số gồm những cơ quan, tổ chức nào?",Ngh_nh_v_ch_k_s_v_d_ch_v_tin_c_y_D2,-1,4,1
40,Đối tượng áp dụng tham gia hoạt động công nghiệp công nghệ thông tin trên lãnh thổ Việt Nam gồm những ai?,Ngh_nh_v_c_ng_nghi_p_c_ng_ngh_th_ng_tin_D2,1,1,1
41,"Đối tượng áp dụng quy định về kinh doanh, xuất nhập khẩu sản phẩm, dịch vụ mật mã dân sự là những doanh nghiệp, tổ chức ",Ngh_nh_v_ho_t_ng_m_t_m_d_n_s_v_s_a_i_N_15_2020_D2,-1,-1,3
42,"Đối tượng áp dụng đối với hoạt động cung ứng và sử dụng dịch vụ thanh toán không dùng tiền mặt gồm những tổ chức, cá nhâ",Ngh_nh_v_thanh_to_n_kh_ng_d_ng_ti_n_m_t_D2,1,1,1
43,"Đối tượng áp dụng đối với thương nhân, tổ chức, cá nhân tham gia hoạt động thương mại điện tử trên lãnh thổ Việt Nam là ",Ngh_nh_v_th_ng_m_i_i_n_t_D2,1,4,1
44,"Đối tượng bị xử phạt vi phạm hành chính trong lĩnh vực bưu chính, viễn thông và công nghệ thông tin là những ai?",Ngh_nh_x_ph_t_vi_ph_m_h_nh_ch_nh_l_nh_v_c_b_u_ch_nh_vi_n_th_ng_CNTT_D2,1,-1,1
45,Chính sách của Nhà nước về an ninh mạng có những nội dung ưu tiên nào?,Lu_t_An_ninh_m_ng_2018_D3,1,2,1
46,Định hướng xây dựng không gian mạng lành mạnh và ưu tiên nguồn lực cho an ninh mạng được nêu ra sao?,Lu_t_An_ninh_m_ng_2025_D3,1,2,1
47,An toàn thông tin mạng được định nghĩa là gì?,Lu_t_An_to_n_th_ng_tin_m_ng_2015_D3,1,-1,1
48,Nguyên tắc bảo vệ dữ liệu cá nhân gồm những nguyên tắc nào?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D3,-1,1,5
49,Người tiêu dùng được định nghĩa là ai?,Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D3,1,1,1
50,Công nghệ số và công nghiệp công nghệ số được định nghĩa ra sao?,Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D3,1,2,1
51,Nguyên tắc bảo vệ an ninh mạng được quy định như thế nào?,Lu_t_An_ninh_m_ng_2018_D4,1,1,1
52,Các hành vi nào bị nghiêm cấm về an ninh mạng?,Lu_t_An_ninh_m_ng_2018_D8,3,1,2
53,Nguyên tắc bảo vệ an ninh mạng bao gồm những nguyên tắc gì?,Lu_t_An_ninh_m_ng_2025_D4,2,1,2
54,Phân loại cấp độ hệ thống thông tin được thực hiện như thế nào?,Lu_t_An_ninh_m_ng_2025_D8,1,1,1
55,Nguyên tắc bảo đảm an toàn thông tin mạng được nêu ra sao?,Lu_t_An_to_n_th_ng_tin_m_ng_2015_D4,1,1,1
56,Các hành vi nào bị nghiêm cấm trong lĩnh vực an toàn thông tin mạng?,Lu_t_An_to_n_th_ng_tin_m_ng_2015_D7,1,1,1
57,Quyền và nghĩa vụ của chủ thể dữ liệu cá nhân gồm những gì?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D4,1,1,1
58,Việc xử lý vi phạm pháp luật về bảo vệ dữ liệu cá nhân được quy định ra sao?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D8,2,2,1
59,Quyền của người tiêu dùng bao gồm những quyền nào?,Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D4,1,1,1
60,Các hành vi nào bị nghiêm cấm trong bảo vệ quyền lợi người tiêu dùng?,Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D10,1,1,1
61,Chính sách phát triển công nghiệp công nghệ số gồm những nội dung gì?,Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D4,1,1,1
62,Các hành vi nào bị nghiêm cấm trong lĩnh vực công nghệ thông tin?,Lu_t_C_ng_ngh_th_ng_tin_2006_D12,1,-1,1
63,Việc áp dụng pháp luật về dữ liệu được quy định ra sao?,Lu_t_D_li_u_2024_D4,-1,1,1
64,Nội dung quản lý nhà nước về dữ liệu bao gồm những gì?,Lu_t_D_li_u_2024_D8,1,1,1
65,Chính sách phát triển giao dịch điện tử được quy định như thế nào?,Lu_t_Giao_d_ch_i_n_t_2023_D4,-1,1,1
66,Thông điệp dữ liệu có giá trị như văn bản giấy được quy định ra sao?,Lu_t_Giao_d_ch_i_n_t_2023_D9,-1,-1,1
67,Quyền sở hữu trí tuệ được giải thích bao gồm những nội dung nào?,Lu_t_S_h_u_tr_tu_2005_D4,-1,-1,1
68,Hành vi xâm phạm quyền tác giả gồm những hành vi nào?,Lu_t_S_h_u_tr_tu_2005_D28,1,-1,1
69,Chính sách của Nhà nước về viễn thông được quy định như thế nào?,Lu_t_Vi_n_th_ng_2023_D4,-1,1,2
70,Hoạt động đầu tư trong kinh doanh dịch vụ viễn thông được quy định ra sao?,Lu_t_Vi_n_th_ng_2023_D12,1,1,1
71,Việc lập hồ sơ đề nghị đưa hệ thống thông tin vào Danh mục hệ thống thông tin quan trọng về an ninh quốc gia được thực h,Ngh_nh_quy_nh_chi_ti_t_Lu_t_An_ninh_m_ng_2018_D4,1,1,1
72,"Trình tự, thủ tục ứng phó, khắc phục sự cố an ninh mạng đối với hệ thống thông tin quan trọng về an ninh quốc gia được q",Ngh_nh_quy_nh_chi_ti_t_Lu_t_An_ninh_m_ng_2018_D17,1,1,1
73,"Chính sách của Nhà nước về quyền tác giả, quyền liên quan gồm những nội dung gì?",Ngh_nh_quy_nh_chi_ti_t_Lu_t_SHTT_v_quy_n_t_c_gi_ph_n_m_m_m_y_t_nh_D4,-1,5,1
74,Việc trích dẫn hợp lý tác phẩm phải đáp ứng những điều kiện nào?,Ngh_nh_quy_nh_chi_ti_t_Lu_t_SHTT_v_quy_n_t_c_gi_ph_n_m_m_m_y_t_nh_D28,-1,-1,1
75,"Chính sách phát triển và quản lý Internet, thông tin trên mạng gồm những nội dung gì?",Ngh_nh_qu_n_l_cung_c_p_s_d_ng_d_ch_v_Internet_v_th_ng_tin_tr_n_m_ng_D4,1,1,1
76,Điều kiện hoạt động của điểm truy nhập Internet công cộng được quy định ra sao?,Ngh_nh_qu_n_l_cung_c_p_s_d_ng_d_ch_v_Internet_v_th_ng_tin_tr_n_m_ng_D5,1,-1,1
77,Việc xử lý vi phạm quy định bảo vệ dữ liệu cá nhân được thực hiện như thế nào?,Ngh_nh_v_b_o_v_d_li_u_c_nh_n_D4,-1,1,1
78,Các hành vi nào bị nghiêm cấm trong xử lý dữ liệu cá nhân?,Ngh_nh_v_b_o_v_d_li_u_c_nh_n_D8,1,1,1
79,Nguyên tắc bảo đảm an toàn hệ thống thông tin theo cấp độ gồm những nguyên tắc gì?,Ngh_nh_v_b_o_m_an_to_n_h_th_ng_th_ng_tin_theo_c_p_D4,1,1,1
80,Nguyên tắc xác định cấp độ an toàn hệ thống thông tin được quy định ra sao?,Ngh_nh_v_b_o_m_an_to_n_h_th_ng_th_ng_tin_theo_c_p_D5,1,2,1
81,Dịch vụ chứng thực chữ ký số được quy định gồm những loại nào?,Ngh_nh_v_ch_k_s_v_d_ch_v_tin_c_y_D4,2,1,1
82,Giá trị pháp lý của chữ ký số được quy định như thế nào?,Ngh_nh_v_ch_k_s_v_d_ch_v_tin_c_y_D8,-1,2,1
83,Nội dung quản lý nhà nước về công nghiệp công nghệ thông tin gồm những gì?,Ngh_nh_v_c_ng_nghi_p_c_ng_ngh_th_ng_tin_D4,1,1,1
84,"Việc áp dụng Danh mục sản phẩm mật mã dân sự xuất khẩu, nhập khẩu theo giấy phép được quy định ra sao?",Ngh_nh_v_ho_t_ng_m_t_m_d_n_s_v_s_a_i_N_15_2020_D4,1,-1,1
85,Cơ quan nào chịu trách nhiệm quản lý hoạt động đánh giá sự phù hợp sản phẩm mật mã dân sự?,Ngh_nh_v_ho_t_ng_m_t_m_d_n_s_v_s_a_i_N_15_2020_D8,1,1,1
86,Trách nhiệm quản lý nhà nước của Ngân hàng Nhà nước về thanh toán không dùng tiền mặt gồm những nội dung gì?,Ngh_nh_v_thanh_to_n_kh_ng_d_ng_ti_n_m_t_D4,1,1,1
87,Ví điện tử và thẻ trả trước được quy định như thế nào?,Ngh_nh_v_thanh_to_n_kh_ng_d_ng_ti_n_m_t_D6,1,-1,1
88,Các hành vi nào bị cấm trong hoạt động thương mại điện tử?,Ngh_nh_v_th_ng_m_i_i_n_t_D4,1,1,1
89,Chứng từ điện tử có giá trị pháp lý như bản gốc khi đáp ứng những điều kiện nào?,Ngh_nh_v_th_ng_m_i_i_n_t_D9,-1,-1,1
90,Hình thức xử phạt vi phạm hành chính và biện pháp khắc phục hậu quả gồm những hình thức nào?,Ngh_nh_x_ph_t_vi_ph_m_h_nh_ch_nh_l_nh_v_c_b_u_ch_nh_vi_n_th_ng_CNTT_D3,-1,4,1
91,"Mức phạt tiền và thẩm quyền phạt tiền đối với cá nhân, tổ chức được quy định ra sao?",Ngh_nh_x_ph_t_vi_ph_m_h_nh_ch_nh_l_nh_v_c_b_u_ch_nh_vi_n_th_ng_CNTT_D4,-1,1,2
92,Hành vi vi phạm các quy định về Giấy phép bưu chính bị xử phạt như thế nào?,Ngh_nh_x_ph_t_vi_ph_m_h_nh_ch_nh_l_nh_v_c_b_u_ch_nh_vi_n_th_ng_CNTT_D5,1,1,1
93,Hành vi vi phạm quy định về thông báo hoạt động bưu chính bị xử phạt ra sao?,Ngh_nh_x_ph_t_vi_ph_m_h_nh_ch_nh_l_nh_v_c_b_u_ch_nh_vi_n_th_ng_CNTT_D6,1,1,1
94,Hoạt động giám sát an ninh mạng đối với hệ thống thông tin quan trọng về an ninh quốc gia được thực hiện như thế nào?,Lu_t_An_ninh_m_ng_2018_D14,1,1,1
95,Bảo đảm an ninh thông tin trên không gian mạng đối với doanh nghiệp cung cấp dịch vụ được quy định ra sao?,Lu_t_An_ninh_m_ng_2018_D26,1,1,1
96,Chính sách của Nhà nước về an toàn thông tin mạng gồm những nội dung gì?,Lu_t_An_to_n_th_ng_tin_m_ng_2015_D5,1,1,1
97,Việc áp dụng pháp luật về bảo vệ dữ liệu cá nhân được quy định ra sao?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D5,2,1,1
98,Bảo vệ quyền lợi người tiêu dùng trong giao dịch với cá nhân hoạt động thương mại độc lập được quy định ra sao?,Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D9,1,1,1
99,Nội dung quản lý nhà nước về công nghệ thông tin bao gồm những gì?,Lu_t_C_ng_ngh_th_ng_tin_2006_D6,1,1,1
100,Chính sách của Nhà nước về dữ liệu được quy định như thế nào?,Lu_t_D_li_u_2024_D6,1,1,1
101,Lực lượng bảo vệ an ninh mạng bao gồm những thành phần nào?,Lu_t_An_ninh_m_ng_2018_D30,-1,2,-1
102,"Việc ứng phó, khắc phục sự cố an ninh mạng đối với hệ thống thông tin quan trọng về an ninh quốc gia được thực hiện ra s",Lu_t_An_ninh_m_ng_2018_D15,1,1,1
103,Hệ thống thông tin quan trọng về an ninh quốc gia được xác định gồm những loại nào?,Lu_t_An_ninh_m_ng_2018_D10,3,3,5
104,Hoạt động thẩm định an ninh mạng đối với hệ thống thông tin quan trọng về an ninh quốc gia được thực hiện như thế nào?,Lu_t_An_ninh_m_ng_2018_D11,2,3,3
105,"Phòng ngừa, xử lý thông tin trên không gian mạng có nội dung tuyên truyền chống Nhà nước được quy định ra sao?",Lu_t_An_ninh_m_ng_2018_D16,1,2,1
106,"Phòng, chống gián điệp mạng và bảo vệ thông tin thuộc bí mật nhà nước trên không gian mạng được quy định như thế nào?",Lu_t_An_ninh_m_ng_2018_D17,1,1,2
107,"Phòng, chống hành vi sử dụng không gian mạng để vi phạm pháp luật về an ninh quốc gia được thực hiện ra sao?",Lu_t_An_ninh_m_ng_2018_D18,1,1,1
108,"Phòng, chống tấn công mạng được quy định gồm những nội dung gì?",Lu_t_An_ninh_m_ng_2018_D19,3,1,1
109,"Phòng, chống khủng bố mạng được thực hiện như thế nào?",Lu_t_An_ninh_m_ng_2018_D20,1,2,1
110,Hợp tác quốc tế về an ninh mạng được thực hiện theo nguyên tắc nào?,Lu_t_An_ninh_m_ng_2018_D7,2,3,3
111,"Phòng, chống gián điệp mạng và bảo vệ bí mật cá nhân, đời sống riêng tư trên không gian mạng được quy định ra sao?",Lu_t_An_ninh_m_ng_2018_D17,1,1,2
112,"Bảo đảm an ninh thông tin trên không gian mạng đối với doanh nghiệp cung cấp dịch vụ viễn thông, Internet được quy định ",Lu_t_An_ninh_m_ng_2018_D26,1,1,1
113,"Phòng, chống xâm hại trẻ em trên không gian mạng được quy định như thế nào?",Lu_t_An_ninh_m_ng_2025_D16,1,1,1
114,"Việc kinh doanh sản phẩm, dịch vụ an ninh mạng được quy định ra sao?",Lu_t_An_ninh_m_ng_2025_D29,1,1,1
115,Nhiệm vụ và biện pháp bảo vệ an ninh mạng đối với hệ thống thông tin gồm những nội dung gì?,Lu_t_An_ninh_m_ng_2025_D10,1,2,1
116,Trách nhiệm bảo vệ an ninh mạng đối với hệ thống thông tin quan trọng về an ninh quốc gia được quy định ra sao?,Lu_t_An_ninh_m_ng_2025_D11,1,1,1
117,"Phòng, chống gián điệp mạng và bảo vệ thông tin bí mật trên không gian mạng được quy định như thế nào?",Lu_t_An_ninh_m_ng_2025_D15,2,2,5
118,"Phòng, chống tấn công mạng được quy định ra sao?",Lu_t_An_ninh_m_ng_2025_D18,1,2,3
119,"Phòng ngừa, xử lý tình huống nguy hiểm về an ninh mạng được thực hiện như thế nào?",Lu_t_An_ninh_m_ng_2025_D20,1,1,1
120,Các hành vi nào bị nghiêm cấm về an ninh mạng?,Lu_t_An_ninh_m_ng_2025_D7,1,2,1
121,Việc phân loại thông tin theo thuộc tính bí mật được thực hiện ra sao?,Lu_t_An_to_n_th_ng_tin_m_ng_2015_D9,-1,1,2
122,Việc thu thập và sử dụng thông tin cá nhân được quy định như thế nào?,Lu_t_An_to_n_th_ng_tin_m_ng_2015_D17,5,1,3
123,Việc quản lý gửi thông tin được quy định ra sao?,Lu_t_An_to_n_th_ng_tin_m_ng_2015_D10,-1,1,1
124,Việc bảo đảm an toàn thông tin cá nhân trên mạng được quy định như thế nào?,Lu_t_An_to_n_th_ng_tin_m_ng_2015_D19,1,1,1
125,"Việc cập nhật, sửa đổi và hủy bỏ thông tin cá nhân được thực hiện ra sao?",Lu_t_An_to_n_th_ng_tin_m_ng_2015_D18,1,1,1
126,"Sản phẩm, dịch vụ trong lĩnh vực an toàn thông tin mạng bao gồm những loại nào?",Lu_t_An_to_n_th_ng_tin_m_ng_2015_D41,2,3,1
127,"Đánh giá hợp chuẩn, hợp quy về an toàn thông tin mạng được thực hiện ra sao?",Lu_t_An_to_n_th_ng_tin_m_ng_2015_D39,1,1,1
128,Hoạt động kinh doanh trong lĩnh vực an toàn thông tin mạng được quy định ra sao?,Lu_t_An_to_n_th_ng_tin_m_ng_2015_D40,1,1,1
129,"Điều kiện cấp Giấy phép kinh doanh sản phẩm, dịch vụ an toàn thông tin mạng gồm những gì?",Lu_t_An_to_n_th_ng_tin_m_ng_2015_D42,1,1,1
130,"Việc thẩm định hồ sơ và cấp Giấy phép kinh doanh sản phẩm, dịch vụ an toàn thông tin mạng được thực hiện ra sao?",Lu_t_An_to_n_th_ng_tin_m_ng_2015_D44,1,2,2
131,Việc rút lại sự đồng ý và hạn chế xử lý dữ liệu cá nhân được quy định ra sao?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D10,1,1,1
132,"Việc thu thập, phân tích, tổng hợp dữ liệu cá nhân được quy định như thế nào?",Lu_t_B_o_v_d_li_u_c_nh_n_2025_D11,1,1,1
133,"Việc mã hóa, giải mã dữ liệu cá nhân được quy định ra sao?",Lu_t_B_o_v_d_li_u_c_nh_n_2025_D12,1,1,1
134,Việc chỉnh sửa dữ liệu cá nhân được thực hiện trong những trường hợp nào?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D13,-1,2,1
135,"Việc xóa, hủy, khử nhận dạng dữ liệu cá nhân được quy định ra sao?",Lu_t_B_o_v_d_li_u_c_nh_n_2025_D14,1,1,1
136,Việc cung cấp dữ liệu cá nhân được quy định như thế nào?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D15,-1,2,4
137,Việc công khai dữ liệu cá nhân được quy định ra sao?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D16,1,1,1
138,Việc chuyển giao dữ liệu cá nhân được quy định như thế nào?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D17,1,1,1
139,Các hoạt động khác trong xử lý dữ liệu cá nhân gồm những gì?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D18,1,1,1
140,Việc xử lý dữ liệu cá nhân không cần sự đồng ý của chủ thể dữ liệu được áp dụng trong những trường hợp nào?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D19,-1,2,3
141,Việc chuyển dữ liệu cá nhân xuyên biên giới được quy định ra sao?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D20,1,1,1
142,Đánh giá tác động xử lý dữ liệu cá nhân được thực hiện như thế nào?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D21,3,3,1
143,Việc cập nhật hồ sơ đánh giá tác động xử lý và chuyển dữ liệu cá nhân xuyên biên giới được quy định ra sao?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D22,1,1,1
144,Việc thông báo vi phạm quy định về bảo vệ dữ liệu cá nhân được quy định ra sao?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D23,-1,1,3
145,Bảo vệ dữ liệu cá nhân của trẻ em và người có khó khăn nhận thức được quy định như thế nào?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D24,-1,2,1
146,Bảo vệ dữ liệu cá nhân trong tuyển dụng và quản lý người lao động được quy định ra sao?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D25,1,1,1
147,Bảo vệ dữ liệu cá nhân đối với thông tin sức khỏe và trong kinh doanh bảo hiểm được quy định ra sao?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D26,1,1,1
148,"Bảo vệ dữ liệu cá nhân trong hoạt động tài chính, ngân hàng và thông tin tín dụng được quy định ra sao?",Lu_t_B_o_v_d_li_u_c_nh_n_2025_D27,1,1,1
149,Bảo vệ dữ liệu cá nhân trong kinh doanh dịch vụ quảng cáo được quy định ra sao?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D28,1,1,1
150,Nghĩa vụ của người tiêu dùng được quy định như thế nào?,Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D5,1,1,1
151,Nguyên tắc bảo vệ quyền lợi người tiêu dùng được quy định ra sao?,Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D6,1,1,1
152,Chính sách của Nhà nước về bảo vệ quyền lợi người tiêu dùng gồm những gì?,Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D7,1,1,1
153,Bảo vệ quyền lợi người tiêu dùng dễ bị tổn thương được quy định ra sao?,Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D8,1,2,1
154,Quyền yêu cầu cơ quan nhà nước xử lý vi phạm liên quan đến quyền lợi người tiêu dùng được quy định ra sao?,Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D11,1,1,1
155,"Việc cung cấp thông tin về sản phẩm, hàng hóa, dịch vụ, hợp đồng theo mẫu cho người tiêu dùng được quy định ra sao?",Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D21,1,1,1
156,"Bảo hành sản phẩm, hàng hóa, linh kiện, phụ kiện được quy định như thế nào?",Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D30,1,1,1
157,Việc thực hiện điều kiện giao dịch chung được quy định ra sao?,Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D27,-1,-1,1
